aceto	Maskulin	aceti
acqua	Feminin	acque
aereo	Maskulin	aerei
aeroplano	Maskulin	aeroplani
aeroporto	Maskulin	aeroporti
affetto	Maskulin	affetti
agenzia	Feminin	agenzie
agosto	Maskulin	/
albergo	Maskulin	alberghi
albero	Maskulin	alberi
alfabeto	Maskulin	alfabeti
ambasciata	Feminin	ambasciate
amica	Feminin	amiche
amico	Maskulin	amici
amore	Maskulin	amori
animale	Maskulin	animali
anno	Maskulin	anni
appartamento	Maskulin	appartamenti
appuntamento	Maskulin	appuntamenti
aprile	Maskulin	/
arte	Feminin	arti
attenzione	Feminin	attenzioni
augurio	Maskulin	auguri
autobus	Maskulin	autobus
autunno	Maskulin	autunni
bacio	Maskulin	baci
bagno	Maskulin	bagni
bambina	Feminin	bambine
bambino	Maskulin	bambini
banca	Feminin	banche
bar	Maskulin	bar
bicchiere	Maskulin	bicchieri
bici	Feminin	bici
bicicletta	Feminin	biciclette
biglietto	Maskulin	biglietti
birra	Feminin	birre
borsa	Feminin	borse
bottiglia	Feminin	bottiglie
busta	Feminin	buste
caffè	Maskulin	caffè
calza	Feminin	calze
camera	Feminin	camere
cameriera	Feminin	cameriere
cameriere	Maskulin	camerieri
camicia	Feminin	camicie
campagna	Feminin	campagne
cane	Maskulin	cani
canzone	Feminin	canzoni
capello	Maskulin	capelli
cappotto	Maskulin	cappotti
cappuccino	Maskulin	cappuccini
carne	Feminin	carni
carta	Feminin	carte
cartolina	Feminin	cartoline
casa	Feminin	case
cd	Maskulin	cd
cellulare	Maskulin	cellulari
cena	Feminin	cene
centro	Maskulin	centri
check-in	Maskulin	check-in
chiave	Feminin	chiavi
chiesa	Feminin	chiese
cibo	Maskulin	cibi
cinema	Maskulin	cinema
città	Feminin	città
classe	Feminin	classi
cognome	Maskulin	cognomi
colazione	Feminin	colazioni
colore	Maskulin	colori
coltello	Maskulin	coltelli
compagna	Feminin	compagne
compagno	Maskulin	compagni
compleanno	Maskulin	compleanni
computer	Maskulin	computer
consolato	Maskulin	consolati
conto	Maskulin	conti
corso	Maskulin	corsi
cosa	Feminin	cose
credito	Maskulin	crediti
cucchiaio	Maskulin	cucchiai
cucina	Feminin	cucine
data	Feminin	date
destra	Feminin	destre
dicembre	Maskulin	/
doccia	Feminin	docce
documento	Maskulin	documenti
domanda	Feminin	domande
domenica	Feminin	domeniche
donna	Feminin	donne
dottore	Maskulin	dottori
dottoressa	Feminin	dottoresse
e-mail	Feminin	e-mail
esercizio	Maskulin	esercizi
estate	Feminin	estati
estero	Maskulin	esteri
euro	Maskulin	/
fabbrica	Feminin	fabbriche
fame	Feminin	/
famiglia	Feminin	famiglie
farmacia	Feminin	farmacie
favore	Maskulin	favori
fax	Maskulin	fax
febbraio	Maskulin	/
femmina	Feminin	femmine
fermata	Feminin	fermate
festa	Feminin	feste
figlia	Feminin	figlie
figlio	Maskulin	figli
film	Maskulin	film
finestra	Feminin	finestre
fiore	Maskulin	fiori
forchetta	Feminin	forchette
fotografia	Feminin	fotografie
francobollo	Maskulin	francobolli
fratello	Maskulin	fratelli
frutta	Feminin	frutta
gatto	Maskulin	gatti
gennaio	Maskulin	/
giacca	Feminin	giacche
giardino	Maskulin	giardini
giornale	Maskulin	giornali
giornata	Feminin	giornate
giorno	Maskulin	giorni
giovedì	Maskulin	giovedì
giugno	Maskulin	/
gonna	Feminin	gonne
hobby	Maskulin	hobby
hotel	Maskulin	hotel
indirizzo	Maskulin	indirizzi
industria	Feminin	industrie
informazione	Feminin	informazioni
insegnante	Maskulin,Feminin	insegnanti
internet	Feminin	/
inverno	Maskulin	inverni
italiano	Maskulin	italiani
lago	Maskulin	laghi
latte	Maskulin	latti
lavoro	Maskulin	lavori
lettera	Feminin	lettere
letto	Maskulin	letti
lezione	Feminin	lezioni
libro	Maskulin	libri
lingua	Feminin	lingue
luglio	Maskulin	/
lunedì	Maskulin	lunedì
macchina	Feminin	macchine
madre	Feminin	madri
maggio	Maskulin	/
maglietta	Feminin	magliette
maglione	Maskulin	maglioni
mamma	Feminin	mamme
mare	Maskulin	mari
marito	Maskulin	mariti
martedì	Maskulin	martedì
marzo	Maskulin	/
maschio	Maskulin	maschi
matita	Feminin	matite
mattina	Feminin	mattine
medicina	Feminin	medicine
menù	Maskulin	menù
mercato	Maskulin	mercati
mercoledì	Maskulin	mercoledì
mese	Maskulin	mesi
metà	Feminin	metà
mezzanotte	Feminin	mezzanotti
mezzogiorno	Maskulin	mezzogiorni
minuto	Maskulin	minuti
moglie	Feminin	mogli
momento	Maskulin	momenti
montagna	Feminin	montagne
moto	Feminin	moto
motocicletta	Feminin	motociclette
museo	Maskulin	musei
musica	Feminin	musiche
Natale	Maskulin	Natali
nazionalità	Feminin	nazionalità
nazione	Feminin	nazioni
negozio	Maskulin	negozi
nome	Maskulin	nomi
nonna	Feminin	nonne
nonno	Maskulin	nonni
notte	Feminin	notti
novembre	Maskulin	/
numero	Maskulin	numeri
occhiale	Maskulin	occhiali
olio	Maskulin	oli
ombrello	Maskulin	ombrelli
ora	Feminin	ore
orologio	Maskulin	orologi
ospedale	Maskulin	ospedali
ottobre	Maskulin	/
pacco	Maskulin	pacchi
padre	Maskulin	padri
pane	Maskulin	pani
pantalone	Maskulin	pantaloni
papà	Maskulin	papà
parcheggio	Maskulin	parcheggi
parco	Maskulin	parchi
parola	Feminin	parole
Pasqua	Feminin	Pasque
passaporto	Maskulin	passaporti
pasta	Feminin	paste
penna	Feminin	penne
pepe	Maskulin	pepi
pesce	Maskulin	pesci
piacere	Maskulin	piaceri
piano	Maskulin	piani
pianta	Feminin	piante
piatto	Maskulin	piatti
piazza	Feminin	piazze
pizza	Feminin	pizze
pizzeria	Feminin	pizzerie
polizia	Feminin	polizie
pomeriggio	Maskulin	pomeriggi
pomodoro	Maskulin	pomodori
porta	Feminin	porte
posta	Feminin	poste
posto	Maskulin	posti
pranzo	Maskulin	pranzi
prezzo	Maskulin	prezzi
primavera	Feminin	primavere
professore	Maskulin	professori
professoressa	Feminin	professoresse
quaderno	Maskulin	quaderni
quadro	Maskulin	quadri
quarto	Maskulin	quarti
radio	Feminin	radio
ragazza	Feminin	ragazze
ragazzo	Maskulin	ragazzi
riso	Maskulin	risi
risposta	Feminin	risposte
ristorante	Maskulin	ristoranti
sabato	Maskulin	sabati
sale	Maskulin	sali
saluto	Maskulin	saluti
scarpa	Feminin	scarpe
scuola	Feminin	scuole
secondo	Maskulin	secondi
sedia	Feminin	sedie
segreteria	Feminin	segreterie
sera	Feminin	sere
sete	Feminin	/
settembre	Maskulin	/
settimana	Feminin	settimane
sigaretta	Feminin	sigarette
signora	Feminin	signore
signore	Maskulin	signori
sinistra	Feminin	sinistre
soggiorno	Maskulin	soggiorni
soldo	Maskulin	soldi
sole	Maskulin	soli
sonno	Maskulin	sonni
sorella	Feminin	sorelle
spaghetto	Maskulin	spaghetti
spesa	Feminin	spese
spiaggia	Feminin	spiagge
sport	Maskulin	sport
stazione	Feminin	stazioni
stop	Maskulin	stop
strada	Feminin	strade
studente	Maskulin	studenti
studentessa	Feminin	studentesse
supermercato	Maskulin	supermercati
tavolo	Maskulin	tavoli
taxi	Maskulin	taxi
tè	Maskulin	tè
teatro	Maskulin	teatri
telefono	Maskulin	telefoni
televisione	Feminin	televisioni
treno	Maskulin	treni
turista	Maskulin,Feminin	turisti,turiste
tv	Feminin	tv
ufficio	Maskulin	uffici
università	Feminin	università
uomo	Maskulin	uomini
uovo	Maskulin	uova(F)
vacanza	Feminin	vacanze
valigia	Feminin	valigie
venerdì	Maskulin	venerdì
verdura	Feminin	verdure
vestito	Maskulin	vestiti
via	Feminin	vie
viaggio	Maskulin	viaggi
vino	Maskulin	vini
visto	Maskulin	visti
zaino	Maskulin	zaini
zucchero	Maskulin	zuccheri
