adulto	adulti	adulta	adulte
alcuno	alcuni	alcuna	alcune
allegro	allegri	allegra	allegre
altro	altri	altra	altre
amaro	amari	amara	amare
antico	antichi	antica	antiche
antipatico	antipatici	antipatica	antipatiche
anziano	anziani	anziana	anziane
arancione	arancioni	arancione	arancioni
azzurro	azzurri	azzurra	azzurre
basso	bassi	bassa	basse
benvenuto	benvenuti	benvenuta	benvenute
brutto	brutti	brutta	brutte
calmo	calmi	calma	calme
cattivo	cattivi	cattiva	cattive
chiaro	chiari	chiara	chiare
comodo	comodi	comoda	comode
completo	completi	completa	complete
contento	contenti	contenta	contente
debole	deboli	debole	deboli
diverso	diversi	diversa	diverse
divertente	divertenti	divertente	divertenti
dolce	dolci	dolce	dolci
elegante	eleganti	elegante	eleganti
elementare	elementari	elementare	elementari
femminile	femminili	femminile	femminili
fermo	fermi	ferma	ferme
forte	forti	forte	forti
fresco	freschi	fresca	fresche
giusto	giusti	giusta	giuste
grasso	grassi	grassa	grasse
grigio	grigi	grigia	grigie
impossibile	impossibili	impossibile	impossibili
inutile	inutili	inutile	inutili
leggero	leggeri	leggera	leggere
lento	lenti	lenta	lente
libero	liberi	libera	libere
liscio	lisci	liscia	lisce
lontano	lontani	lontana	lontane
loro	loro	loro	loro
marrone	marroni	marrone	marroni
maschile	maschili	maschile	maschili
moderno	moderni	moderna	moderne
nervoso	nervosi	nervosa	nervose
noioso	noiosi	noiosa	noiose
normale	normali	normale	normali
nostro	nostri	nostra	nostre
nuvoloso	nuvolosi	nuvolosa	nuvolose
ogni	/	ogni	/
passato	passati	passata	passate
pesante	pesanti	pesante	pesanti
pieno	pieni	piena	piene
pigro	pigri	pigra	pigre
plurale	plurali	plurale	plurali
possibile	possibili	possibile	possibili
povero	poveri	povera	povere
primo	primi	prima	prime
pronto	pronti	pronta	pronte
prossimo	prossimi	prossima	prossime
qualche	/	qualche	/
quale	quali	quale	quali
riccio	ricci	riccia	ricce
rosa	rosa	rosa	rosa
salato	salati	salata	salate
scomodo	scomodi	scomoda	scomode
scorso	scorsi	scorsa	scorse
scuro	scuri	scura	scure
secondo	secondi	seconda	seconde
serio	seri	seria	serie
sicuro	sicuri	sicura	sicure
simile	simili	simile	simili
singolare	singolari	singolare	singolari
solito	soliti	solita	solite
solo	soli	sola	sole
sportivo	sportivi	sportiva	sportive
stesso	stessi	stessa	stesse
storico	storici	storica	storiche
strano	strani	strana	strane
suo	suoi	sua	sue
tiepido	tiepidi	tiepida	tiepide
timido	timidi	timida	timide
tranquillo	tranquilli	tranquilla	tranquille
uguale	uguali	uguale	uguali
ultimo	ultimi	ultima	ultime
utile	utili	utile	utili
vedovo	vedovi	vedova	vedove
veloce	veloci	veloce	veloci
viola	viola	viola	viola
vostro	vostri	vostra	vostre
vuoto	vuoti	vuota	vuote
