acido	acidi	acida	acide
affettuoso	affettuosi	affettuosa	affettuose
allergico	allergici	allergica	allergiche
ammobiliato	ammobiliati	ammobiliata	ammobiliate
ansioso	ansiosi	ansiosa	ansiose
appassionato	appassionati	appassionata	appassionate
aspro	aspri	aspra	aspre
avaro	avari	avara	avare
bollente	bollenti	bollente	bollenti
breve	brevi	breve	brevi
capace	capaci	capace	capaci
classico	classici	classica	classiche
confuso	confusi	confusa	confuse
contemporaneo	contemporanei	contemporanea	contemporanee
cordiale	cordiali	cordiale	cordiali
corrente	correnti	corrente	correnti
costoso	costosi	costosa	costose
crudo	crudi	cruda	crude
curioso	curiosi	curiosa	curiose
differente	differenti	differente	differenti
disoccupato	disoccupati	disoccupata	disoccupate
distinto	distinti	distinta	distinte
duro	duri	dura	dure
eccezionale	eccezionali	eccezionale	eccezionali
egoista	egoisti	egoista	egoiste
egregio	egregi	egregia	egregie
estroverso	estroversi	estroversa	estroverse
famoso	famosi	famosa	famose
fantastico	fantastici	fantastica	fantastiche
finale	finali	finale	finali
gelato	gelati	gelata	gelate
generoso	generosi	generosa	generose
grosso	grossi	grossa	grosse
guasto	guasti	guasta	guaste
impaziente	impazienti	impaziente	impazienti
improbabile	improbabili	improbabile	improbabili
improvviso	improvvisi	improvvisa	improvvise
incredibile	incredibili	incredibile	incredibili
indifferente	indifferenti	indifferente	indifferenti
indimenticabile	indimenticabili	indimenticabile	indimenticabili
insipido	insipidi	insipida	insipide
introverso	introversi	introversa	introverse
liquido	liquidi	liquida	liquide
lirico	lirici	lirica	liriche
lungo	lunghi	lunga	lunghe
maggiore	maggiori	maggiore	maggiori
magnifico	magnifici	magnifica	magnifiche
massimo	massimi	massima	massime
medio	medi	media	medie
meglio	meglio	meglio	meglio
meraviglioso	meravigliosi	meravigliosa	meravigliose
migliore	migliori	migliore	migliori
minimo	minimi	minima	minime
minore	minori	minore	minori
mite	miti	mite	miti
musicale	musicali	musicale	musicali
naturale	naturali	naturale	naturali
necessario	necessari	necessaria	necessarie
negativo	negativi	negativa	negative
nessuno	/	nessuna	/
obbligatorio	obbligatori	obbligatoria	obbligatorie
onesto	onesti	onesta	oneste
orribile	orribili	orribile	orribili
ottimista	ottimisti	ottimista	ottimiste
ottimo	ottimi	ottima	ottime
ovale	ovali	ovale	ovali
pedonale	pedonali	pedonale	pedonali
peggio	peggii	peggia	peggie
peggiore	peggiori	peggiore	peggiori
perfetto	perfetti	perfetta	perfette
pessimista	pessimisti	pessimista	pessimiste
pessimo	pessimi	pessima	pessime
piacevole	piacevoli	piacevole	piacevoli
piccante	piccanti	piccante	piccanti
pop	/	pop	/
positivo	positivi	positiva	positive
pratico	pratici	pratica	pratiche
precedente	precedenti	precedente	precedenti
probabile	probabili	probabile	probabili
profondo	profondi	profonda	profonde
quadrato	quadrati	quadrata	quadrate
quadro	quadri	quadra	quadre
qualsiasi	qualsiasi	qualsiasi	qualsiasi
rettangolare	rettangolari	rettangolare	rettangolari
romantico	romantici	romantica	romantiche
rotondo	rotondi	rotonda	rotonde
sano	sani	sana	sane
secco	secchi	secca	secche
