affetto	Substantiv
aiuto	Interjektion
bravo	Interjektion
certo	Adverb
davanti	Adverb
dire	Verb
domani	Adverb
indietro	Adverb
lontano	Adverb
ora	Adverb
quale	Pronomen
quando	Adverb
quanto	Pronomen
quanto	Adverb
salute	Interjektion
senza	Adverb
sopra	Adverb
tardi	Adverb
una	Artikel
uno	Artikel
ancora	Adverb
benvenuto	Adjektiv
da	Präposition
davanti	Präposition
dispiacere	Verb
dritto	Adverb
durante	Präposition
ecco	Interjektion
fino	Präposition
forse	Adverb
gli	Pronomen
gratis	Adverb
la	Pronomen
le	Pronomen
meglio	Adverb
mio	Pronomen
nostro	Adjektiv
ogni	Adjektiv
probabilmente	Adverb
qualche	Adjektiv
quando	Konjunktion
solo	Adverb
sopra	Präposition
sotto	Präposition
tuo	Pronomen
veramente	Adverb
vi	Pronomen
viola	Adjektiv
vostro	Adjektiv
assolutamente	Adverb
cioè	Konjunktion
coraggio	Interjektion
forza	Interjektion
gelato	Adjektiv
lirica	Adjektiv
peggio	Adverb
proprio	Adverb
qualsiasi	Adjektiv
quindi	Adverb
quindi	Konjunktion
raramente	Adverb
sia	Konjunktion
tanto	Pronomen
velocemente	Adverb
volentieri	Adverb
assassina	Substantiv
attraverso	Präposition
cavolo	Interjektion
contemporaneamente	Adverb
esatto	Adverb
finora	Adverb
innanzitutto	Adverb
perfino	Adverb
personale	Adjektiv
porco	Adjektiv
qualunque	Adjektiv
responsabile	Substantiv
sociale	Adjektiv
stesso	Pronomen
una	Pronomen
uno	Pronomen
vegetariano	Adjektiv
