addetta	Substantiv
addetto	Substantiv
adulta	Adjektiv
adulta	Substantiv
adulta	Adjektiv
adulta	Substantiv
affettuoso	Adjektiv
agenzia	Substantiv
agio	Substantiv
altro	Pronomen
altro	Adjektiv
amministratore	Substantiv
amministratrice	Substantiv
anche	Konjunktion
andarsene	Verb
anziana	Adjektiv
anziana	Substantiv
anziana	Adjektiv
anziana	Substantiv
arrivederci	Interjektion
attentamente	Adverb
basta	Interjektion
bilocale	Substantiv
boh	Interjektion
bollettino	Substantiv
bonifico	Substantiv
buonanotte	Interjektion
buonasera	Interjektion
buongiorno	Interjektion
cassettiera	Substantiv
cd	Substantiv
check-in	Substantiv
che	Pronomen
che	Konjunktion
cin-cin	Interjektion
ciò	Pronomen
ci	Pronominalpartikel
ci	Pronomen
cliccare	Verb
collaboratrice	Substantiv
colorare	Verb
condizionare	Verb
condoglianza	Substantiv
connettersi	Verb
contemporaneo	Adjektiv
convivente	Substantiv
cordialmente	Adverb
cortesia	Substantiv
cronaca	Substantiv
cui	Pronomen
curriculum vitae	Substantiv
deludere	Verb
deprimere	Verb
dimenticarsi	Verb
disoccupata	Adjektiv
disoccupata	Substantiv
dottorato	Substantiv
dunque	Konjunktion
eccetera	Adverb
eh	Interjektion
fantastico	Adjektiv
feriale	Adjektiv
feria	Substantiv
fiction	Substantiv
figo	Adjektiv
freezer	Substantiv
fregarsene	Verb
friggere	Verb
ganzo	Adjektiv
ginnastica	Substantiv
globalizzazione	Substantiv
ideologia	Substantiv
idraulico	Substantiv
immobile	Substantiv
impegnare	Verb
impensabile	Adjektiv
improbabile	Adjektiv
indimenticabile	Adjektiv
inquilina	Substantiv
insipido	Adjektiv
interessarsi	Verb
introverso	Adjektiv
inutile	Adjektiv
invece	Konjunktion
lavorativo	Adjektiv
li	Pronomen
logico	Adjektiv
mah	Interjektion
maiuscola	Substantiv
manager	Substantiv
master	Substantiv
mensola	Substantiv
me	Pronomen
metodo	Substantiv
metropoli	Substantiv
mettercela	Verb
minimo	Adjektiv
minuscola	Substantiv
minuscolo	Adjektiv
mobile	Substantiv
neanche	Adverb
neanche	Konjunktion
né	Konjunktion
nemmeno	Adverb
nemmeno	Konjunktion
nessuno	Pronomen
nessuno	Adjektiv
nostalgia	Substantiv
occhiale	Substantiv
ok	Interjektion
pazzesco	Adjektiv
phon	Substantiv
po’	Adverb
polizza	Substantiv
pop	Substantiv
pop	Adjektiv
praticamente	Adverb
raccomandarsi	Verb
riassumere	Verb
salve	Interjektion
sandalo	Substantiv
segreteria	Substantiv
seguente	Adjektiv
sennò	Konjunktion
sms	Substantiv
socievole	Adjektiv
spaghetto	Substantiv
specializzarsi	Verb
spettabile	Adjektiv
spicchio	Substantiv
stendersi	Verb
stiro	Substantiv
stressare	Verb
talk-show	Substantiv
teoria	Substantiv
ti	Pronomen
tombola	Substantiv
tortellino	Substantiv
tradizionale	Adjektiv
tuttavia	Konjunktion
tv	Substantiv
uffa	Interjektion
un	Artikel
un	Pronomen
variabile	Adjektiv
vigilessa	Substantiv
virgola	Substantiv
virgoletta	Substantiv
voi	Pronomen
